data,class,scenario,rssi,mcs,pc_timestamp
"[100,-64,5,0,26,6,23,4,22,3,21,3,20,2,19,2,18,1,17,1,15,0,15,0,14,0,14,0,13,0,12,1,12,1,11,2,11,2,10,3,9,3,9,4,9,4,8,5,7,6,5,7,4,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,2,21,4,21,6,21,7,20,9,20,10,20,10,20,11,20,12,19,13,19,14,19,15,20,15,20,15,21,14,21,14,21,14,22,13,22,12,23,11,24,10,24,10,25,9,25,9,27,9,29,9]",1,person_udp_30hz,-62,7,1747602707.755552
"[100,-64,5,0,-1,27,-1,24,0,22,1,21,1,20,1,19,2,18,2,17,2,16,2,15,2,14,2,14,1,13,1,13,1,13,0,12,0,12,-1,12,-2,11,-3,10,-3,9,-4,9,-5,8,-6,8,-7,7,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,21,0,21,-2,22,-4,22,-5,22,-7,22,-7,22,-8,22,-9,22,-10,22,-10,22,-11,23,-11,23,-11,23,-11,23,-10,24,-10,24,-10,25,-9,25,-7,25,-6,26,-6,26,-5,27,-5,27,-4,29,-3,30]",1,person_udp_30hz,-62,7,1747602707.790507
"[100,-64,5,0,27,-4,25,-4,23,-5,22,-5,20,-6,19,-6,18,-6,17,-6,16,-6,15,-6,15,-5,14,-5,13,-5,13,-4,12,-4,12,-3,12,-2,11,-1,11,-1,11,0,11,1,10,2,9,3,8,4,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,22,-5,22,-4,23,-2,23,0,24,2,24,3,24,4,24,4,24,5,25,6,25,7,25,7,26,7,26,7,26,7,26,6,27,5,27,5,27,4,27,3,28,2,28,1,28,0,29,0,31,-1,32,-3]",1,person_udp_30hz,-63,7,1747602707.82398
"[100,-64,5,0,-13,-26,-12,-23,-12,-21,-12,-20,-12,-19,-12,-18,-11,-16,-11,-15,-11,-14,-11,-14,-11,-13,-11,-12,-10,-12,-9,-12,-8,-11,-7,-11,-7,-11,-6,-11,-5,-12,-4,-12,-3,-11,-2,-10,-1,-10,0,-11,2,-11,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-5,-11,-20,-10,-21,-8,-22,-7,-23,-6,-24,-4,-24,-3,-25,-2,-25,-2,-25,-2,-25,-2,-26,-1,-26,-1,-26,-1,-27,-2,-27,-2,-28,-3,-27,-3,-27,-4,-28,-5,-27,-6,-28,-7,-28,-9,-27,-10,-27,-11,-29,-11,-31]",1,person_udp_30hz,-62,7,1747602707.863656
"[100,-64,5,0,23,13,21,11,20,10,19,9,18,8,18,7,17,6,16,5,15,5,14,4,14,4,13,4,12,4,12,4,11,4,10,5,9,5,9,6,8,6,7,6,7,6,6,7,5,7,3,8,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,19,8,18,10,18,12,17,13,17,15,16,15,16,16,15,17,15,18,15,18,15,19,15,19,15,20,15,20,15,20,15,20,16,19,17,19,18,19,19,18,20,18,20,17,21,16,22,16,24,16,25,17]",1,person_udp_30hz,-62,7,1747602707.897975
"[100,-64,5,0,-21,18,-18,17,-16,16,-15,16,-14,15,-13,14,-12,14,-11,13,-10,13,-9,13,-9,12,-9,11,-9,11,-8,10,-8,9,-9,8,-8,8,-8,7,-9,7,-9,6,-9,5,-10,4,-10,3,-10,1,-10,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-15,16,-16,14,-18,13,-19,12,-20,11,-21,10,-22,10,-22,9,-23,9,-23,8,-24,8,-24,7,-25,8,-25,8,-25,9,-25,9,-24,9,-24,10,-24,11,-24,13,-23,14,-23,14,-23,15,-23,16,-24,18,-24,19]",1,person_udp_30hz,-62,7,1747602707.931607
"[100,-64,5,0,-27,8,-24,8,-22,8,-21,8,-20,8,-18,7,-18,7,-17,7,-16,7,-15,7,-14,7,-14,6,-13,6,-13,5,-12,4,-12,4,-12,3,-11,2,-11,2,-11,0,-11,-1,-11,-2,-10,-2,-9,-3,-9,-4,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-20,9,-21,8,-22,6,-23,4,-23,3,-24,2,-24,1,-25,0,-25,0,-25,-1,-25,-2,-26,-2,-27,-2,-27,-2,-27,-2,-27,-2,-27,-1,-27,0,-27,1,-27,2,-28,3,-28,4,-28,4,-28,5,-30,6,-31,7]",1,person_udp_30hz,-62,4,1747602707.9678311
"[100,-64,5,0,-8,-26,-8,-24,-8,-22,-8,-21,-8,-19,-8,-18,-8,-17,-8,-16,-8,-16,-8,-15,-8,-14,-7,-13,-7,-13,-6,-13,-6,-12,-5,-11,-4,-11,-3,-12,-2,-11,-2,-11,-1,-10,0,-10,1,-10,2,-10,3,-9,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-6,-8,-21,-7,-22,-5,-22,-3,-23,-2,-24,-1,-24,0,-24,1,-25,2,-25,2,-25,2,-25,2,-25,2,-25,3,-26,3,-26,2,-27,2,-27,1,-27,0,-27,-1,-27,-2,-28,-3,-28,-4,-28,-5,-28,-6,-29,-7,-30]",1,person_udp_30hz,-62,7,1747602708.002729
"[100,-64,5,0,23,-14,21,-13,19,-13,18,-12,17,-12,16,-12,14,-12,13,-12,13,-12,12,-11,12,-10,11,-10,10,-9,10,-9,10,-8,10,-7,10,-6,10,-6,10,-5,9,-4,10,-3,10,-2,10,-1,9,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,16,-14,17,-13,19,-11,20,-10,21,-9,22,-8,22,-7,23,-6,23,-5,23,-5,24,-4,24,-4,25,-4,25,-4,25,-5,25,-5,25,-6,25,-6,26,-7,26,-8,25,-9,25,-10,25,-10,25,-11,26,-13,27,-14]",1,person_udp_30hz,-62,7,1747602708.0407622
"[100,-64,5,0,9,26,9,23,9,21,9,20,9,19,9,17,9,16,8,15,8,14,8,13,8,13,8,12,7,12,6,11,6,11,5,11,4,11,3,11,2,11,1,10,0,10,-1,9,-2,9,-3,9,-4,9,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,19,8,20,6,21,5,22,3,23,2,23,1,23,1,24,0,24,-1,24,-1,25,-2,25,-2,25,-2,26,-1,26,-1,26,0,26,1,26,1,27,2,27,3,26,4,27,5,27,6,27,8,29,9,30]",1,person_udp_30hz,-62,7,1747602708.094125
